GroupId	Words
1	24,28,92,130,139,141,142,128,160,165,34,116,190,188,202,197,218,237,230,228,226,272,283,282,264,313,337,350,335,331,369,368,366,360,407,384,435,436,438,427,473,462,461,501,492,485,484,573,514,520,533,528,541,539,626,636,586,594,672,701,699,694,740,763,752,757,714,716,707,731,721,727,831,797,774,773,782,887,886,893,869,872,875,849,833,844,943,942,933,934,921,969,967
2	7,37,49,69,121,152,166,150,120,145,58,100,86,53,104,94,68,153,43,184,196,195,217,214,208,211,239,250,247,276,286,265,270,311,315,332,411,409,416,472,456,496,513,625,629,587,599,698,688,652,654,767,765,770,880,866,852,834,845,957,932,925,917,912
3	16,50,38,8,12,136,55,114,125,95,79,147,72,123,149,156,39,67,77,74,26,172,189,177,180,204,241,285,308,288,299,300,342,340,344,329,374,400,405,424,464,459,450,498,493,562,535,534,537,622,604,649,657,746,754,728,789,796,783,778,895,894,936,922
4	11,22,27,154,101,164,60,91,85,45,185,191,178,205,206,200,198,193,234,233,244,305,302,343,325,367,362,402,399,441,425,471,452,499,490,547,519,536,637,702,645,665,744,711,821,828,772,888,867,878,837,847,945,909,961,965
5	48,80,140,23,25,122,75,118,192,221,287,307,333,365,403,401,394,392,433,430,476,477,469,497,487,544,575,543,610,576,593,605,678,692,651,646,641,670,742,706,708,829,806,814,881,891,835,836,954,929,913,897,963
6	3,4,5,52,41,46,44,13,6,133,157,33,62,82,112,170,222,231,256,262,347,326,418,423,507,480,572,518,635,588,751,713,712,830,805,790,786,780,864,861,955,939,927
7	137,103,98,97,129,108,78,132,87,126,89,88,148,238,269,309,345,353,412,448,509,494,563,602,668,715,819,775,889,857,842
8	372,883,382,892,561,93,638,745,201,278,280,798,355,364,389,447,914,429,431,479,463
9	32,10,1,70,71,76,173,199,210,246,274,271,292,387,419,449,681,663,739,753,803,930
10	31,134,131,151,30,106,124,324,379,434,474,554,564,634,577,682,643,666,749,720
11	42,9,14,2,63,127,227,294,322,321,330,414,415,488,612,584,732,795,868,841,899
12	443,735,567,110,590,703,186,181,766,236,242,823,295,334,378,408,420
13	167,135,119,187,354,404,505,614,659,762,724,726,923,896
14	21,19,20,36,17,56,209,281,312,346,510,511,600,676,696
15	29,40,129,138,144,183,252,574,684,673,804,808,781
16	546,918,624,580,293,839,393,919
17	257,219,843,526,630,581,791
18	64,161,176,451,542,647,853
19	628,243,529,582,818,901,467
20	540,592,174,788,877,903,486
21	723,57,579,213,266,924
22	51,113,291,390,523,771
23	143,107,398,396,597,947
24	730,884,532,870,904
25	397,585,171
26	926,690,553
27	758,460,686
28	644,255,815
29	102,162,959
30	750,591
31	525,655
32	146,611
33	413,671
34	737,627
