GroupId	Words
1	32,10,1
2	29,40,129
3	16,50,38,8,12,136,55,114,125,95,79,147,72,123,149
4	11,22,27,154,101
5	24,28,92,130
6	42,9,14,2,63
7	21,19,20,36
8	3,4,5,52,41,46,44,13
9	7,37,49,69,121,152,166,150,120,145,58,100,86,53,104,94
10	102,162
11	137,103,98,97,129,108,78,132,87,126,89,88,61
