GroupId	Words
1	32,33,10
2	6,29
3	16,50,4,38,8,43
4	42,11
5	24,28
6	21,36,42,9
7	2,38,8,9,12
8	7,24
9	52,12
10	21,15
11	3,4,5,52,41,46,44
12	7,37
13	4,38,52,43,26
