LEVEL,AHEAD,ALIVE,ARCH,BECOMES,BELIEVE,BUILD,CHARACTERIZATION,COPY,DEFINES,DIALOGUE,DONE
ACCOUNTING,ANYWHERE,APPRENTICE,BOM,BRAN,CHRONICLES,CUT,DEDICATE,EARLY,EVENTS,FANTASTIC,GEM
XANTH,30,BACKSTORIES,BEAUTIFUL,CHANGE,CHTHON,CONTINUANCE,DEFINITE,DEUS,EX,EXECUTE,FACT
APPEARANCE,CARED,COIN,DELVE,ENVY,GETS,LACKING,LOW,MOVING,NORMAL,RUIN,SHAKE
MURDER,POPULATION,SEE,SOLID,SUMMER,TURNED,WACKY
1700S,ABILITY,AUTHORS,COMMUNICATED,DIG,ONE,POTATO,SHIFT
DESCRIBED,FASTER,FEWER,TYPICALLY,WANT,WHIM
1995,ACCOMPANIED,ADDICT,BED,BUILT,CONSTANT,COPE,KA,LATER,LISA,LOSS,NIGHT
ABSOLUTELY,CONVENIENT,E.,EBOOKS,FAN,FANTASY,HOBBS,JR.,MATTISON,MISTAKE
TYING,BADLY,BUFFALO,CASE,EXCEPTIONAL,GRATES,HIGHLY,LABORIOUSLY,LANGUAGE,MATURE,MORALISING,STRUCTURE
